printFacultyEmployees,30-08-2020 10:17:34,Thread-5
printListOfOtherJobs,30-08-2020 10:26:59,Thread-5
printCountries,30-08-2020 10:26:59,Thread-6
getNumberOfEmployees,30-08-2020 10:26:59,Thread-4
doesThisCountryExist,30-08-2020 10:26:59,Thread-6
getNumberOfPersons,30-08-2020 10:26:59,Thread-4
printMedianSalaryInWworld,30-08-2020 10:26:59,Thread-3
printListOfSecretaries,30-08-2020 10:26:59,Thread-6
getSumOfSalaries,30-08-2020 10:26:59,Thread-4
printLowestSalaryinWorld,30-08-2020 10:26:59,Thread-3
printListOfStudents,30-08-2020 10:26:59,Thread-6
printBigestSalaryinWorld,30-08-2020 10:26:59,Thread-3
printFacultyEmployees,30-08-2020 10:26:59,Thread-5
getNumberOfEmployees,30-08-2020 10:36:05,Thread-4
printListOfOtherJobs,30-08-2020 10:36:05,Thread-5
printCountries,30-08-2020 10:36:05,Thread-6
printMedianSalaryInWworld,30-08-2020 10:36:05,Thread-3
doesThisCountryExist,30-08-2020 10:36:05,Thread-6
printLowestSalaryinWorld,30-08-2020 10:36:05,Thread-3
getNumberOfPersons,30-08-2020 10:36:05,Thread-4
printListOfSecretaries,30-08-2020 10:36:05,Thread-6
printBigestSalaryinWorld,30-08-2020 10:36:05,Thread-3
getSumOfSalaries,30-08-2020 10:36:05,Thread-4
printListOfStudents,30-08-2020 10:36:05,Thread-6
printFacultyEmployees,30-08-2020 10:36:05,Thread-5
printListOfOtherJobs,30-08-2020 10:40:15,Thread-5
printCountries,30-08-2020 10:40:15,Thread-6
getNumberOfEmployees,30-08-2020 10:40:15,Thread-4
printMedianSalaryInWworld,30-08-2020 10:40:15,Thread-3
doesThisCountryExist,30-08-2020 10:40:15,Thread-6
printLowestSalaryinWorld,30-08-2020 10:40:15,Thread-3
getNumberOfPersons,30-08-2020 10:40:15,Thread-4
printListOfSecretaries,30-08-2020 10:40:15,Thread-6
printBigestSalaryinWorld,30-08-2020 10:40:15,Thread-3
getSumOfSalaries,30-08-2020 10:40:15,Thread-4
printListOfStudents,30-08-2020 10:40:15,Thread-6
printFacultyEmployees,30-08-2020 10:40:15,Thread-5
printCountries,30-08-2020 10:40:36,Thread-6
printMedianSalaryInWworld,30-08-2020 10:40:36,Thread-3
printListOfOtherJobs,30-08-2020 10:40:36,Thread-5
doesThisCountryExist,30-08-2020 10:40:36,Thread-6
printLowestSalaryinWorld,30-08-2020 10:40:36,Thread-3
getNumberOfEmployees,30-08-2020 10:40:36,Thread-4
printListOfSecretaries,30-08-2020 10:40:36,Thread-6
printBigestSalaryinWorld,30-08-2020 10:40:36,Thread-3
printListOfStudents,30-08-2020 10:40:36,Thread-6
getNumberOfPersons,30-08-2020 10:40:36,Thread-4
getSumOfSalaries,30-08-2020 10:40:36,Thread-4
printFacultyEmployees,30-08-2020 10:40:36,Thread-5
printCountries,30-08-2020 10:41:30,Thread-6
printListOfOtherJobs,30-08-2020 10:41:30,Thread-5
getNumberOfEmployees,30-08-2020 10:41:30,Thread-4
printMedianSalaryInWworld,30-08-2020 10:41:30,Thread-3
doesThisCountryExist,30-08-2020 10:41:30,Thread-6
printLowestSalaryinWorld,30-08-2020 10:41:30,Thread-3
getNumberOfPersons,30-08-2020 10:41:30,Thread-4
printListOfSecretaries,30-08-2020 10:41:30,Thread-6
getSumOfSalaries,30-08-2020 10:41:30,Thread-4
printBigestSalaryinWorld,30-08-2020 10:41:30,Thread-3
printListOfStudents,30-08-2020 10:41:30,Thread-6
printFacultyEmployees,30-08-2020 10:41:30,Thread-5
printListOfOtherJobs,30-08-2020 10:43:01,Thread-5
printMedianSalaryInWworld,30-08-2020 10:43:01,Thread-3
printCountries,30-08-2020 10:43:01,Thread-6
printLowestSalaryinWorld,30-08-2020 10:43:01,Thread-3
doesThisCountryExist,30-08-2020 10:43:01,Thread-6
getNumberOfEmployees,30-08-2020 10:43:01,Thread-4
printBigestSalaryinWorld,30-08-2020 10:43:01,Thread-3
printListOfSecretaries,30-08-2020 10:43:01,Thread-6
getNumberOfPersons,30-08-2020 10:43:01,Thread-4
printListOfStudents,30-08-2020 10:43:01,Thread-6
getSumOfSalaries,30-08-2020 10:43:01,Thread-4
printFacultyEmployees,30-08-2020 10:43:01,Thread-5
printListOfOtherJobs,30-08-2020 10:43:16,Thread-5
printCountries,30-08-2020 10:43:16,Thread-6
printMedianSalaryInWworld,30-08-2020 10:43:16,Thread-3
doesThisCountryExist,30-08-2020 10:43:16,Thread-6
printLowestSalaryinWorld,30-08-2020 10:43:16,Thread-3
getNumberOfEmployees,30-08-2020 10:43:16,Thread-4
printListOfSecretaries,30-08-2020 10:43:16,Thread-6
printBigestSalaryinWorld,30-08-2020 10:43:16,Thread-3
getNumberOfPersons,30-08-2020 10:43:16,Thread-4
printListOfStudents,30-08-2020 10:43:16,Thread-6
getSumOfSalaries,30-08-2020 10:43:16,Thread-4
printFacultyEmployees,30-08-2020 10:43:16,Thread-5
printListOfOtherJobs,30-08-2020 10:43:27,Thread-5
printMedianSalaryInWworld,30-08-2020 10:43:27,Thread-3
printCountries,30-08-2020 10:43:27,Thread-6
printLowestSalaryinWorld,30-08-2020 10:43:27,Thread-3
doesThisCountryExist,30-08-2020 10:43:27,Thread-6
getNumberOfEmployees,30-08-2020 10:43:27,Thread-4
printBigestSalaryinWorld,30-08-2020 10:43:27,Thread-3
printListOfSecretaries,30-08-2020 10:43:27,Thread-6
getNumberOfPersons,30-08-2020 10:43:27,Thread-4
printListOfStudents,30-08-2020 10:43:27,Thread-6
getSumOfSalaries,30-08-2020 10:43:27,Thread-4
printFacultyEmployees,30-08-2020 10:43:27,Thread-5
printListOfOtherJobs,30-08-2020 10:44:49,Thread-5
getNumberOfEmployees,30-08-2020 10:44:49,Thread-4
printCountries,30-08-2020 10:44:49,Thread-6
doesThisCountryExist,30-08-2020 10:44:49,Thread-6
printMedianSalaryInWworld,30-08-2020 10:44:49,Thread-3
getNumberOfPersons,30-08-2020 10:44:49,Thread-4
printListOfSecretaries,30-08-2020 10:44:49,Thread-6
printLowestSalaryinWorld,30-08-2020 10:44:49,Thread-3
getSumOfSalaries,30-08-2020 10:44:49,Thread-4
printListOfStudents,30-08-2020 10:44:49,Thread-6
printBigestSalaryinWorld,30-08-2020 10:44:49,Thread-3
printFacultyEmployees,30-08-2020 10:44:49,Thread-5
printCountries,30-08-2020 10:45:58,Thread-6
printMedianSalaryInWworld,30-08-2020 10:45:58,Thread-3
printListOfOtherJobs,30-08-2020 10:45:58,Thread-5
doesThisCountryExist,30-08-2020 10:45:58,Thread-6
printLowestSalaryinWorld,30-08-2020 10:45:58,Thread-3
getNumberOfEmployees,30-08-2020 10:45:58,Thread-4
printListOfSecretaries,30-08-2020 10:45:58,Thread-6
printBigestSalaryinWorld,30-08-2020 10:45:58,Thread-3
printListOfStudents,30-08-2020 10:45:58,Thread-6
getNumberOfPersons,30-08-2020 10:45:58,Thread-4
getSumOfSalaries,30-08-2020 10:45:58,Thread-4
printFacultyEmployees,30-08-2020 10:45:58,Thread-5
printCountries,30-08-2020 10:54:24,Thread-6
printListOfOtherJobs,30-08-2020 10:54:24,Thread-5
getNumberOfEmployees,30-08-2020 10:54:24,Thread-4
